,pri ro spot ec12ens ron/mwh cet h f Avg 2024-04-09T00:00:00+02:00
2024-04-20 07:00:00+02:00,265.01501433333334
2024-04-20 08:00:00+02:00,220.8359415490196
2024-04-20 09:00:00+02:00,190.7321779607843
2024-04-20 10:00:00+02:00,153.94193625490195
2024-04-20 11:00:00+02:00,128.64943656862746
2024-04-20 12:00:00+02:00,102.24349799999999
2024-04-20 13:00:00+02:00,80.45886656862744
2024-04-20 14:00:00+02:00,89.66836017647059
2024-04-20 15:00:00+02:00,119.71562380392156
2024-04-20 16:00:00+02:00,167.60421125490194
2024-04-20 17:00:00+02:00,238.95002380392157
2024-04-20 18:00:00+02:00,318.9081838235294
2024-04-20 19:00:00+02:00,390.8394528627451
2024-04-20 20:00:00+02:00,394.6775536470588
2024-04-20 21:00:00+02:00,357.8298378431373
2024-04-20 22:00:00+02:00,341.67279733333334
2024-04-20 23:00:00+02:00,306.4781924509804
2024-04-21 00:00:00+02:00,283.1563724313725
2024-04-21 01:00:00+02:00,242.22215084313726
2024-04-21 02:00:00+02:00,235.3320780392157
2024-04-21 03:00:00+02:00,229.42880627450978
2024-04-21 04:00:00+02:00,232.79055394117646
2024-04-21 05:00:00+02:00,231.50956345098038
2024-04-21 06:00:00+02:00,225.968670745098
2024-04-21 07:00:00+02:00,208.77612233333332
2024-04-21 08:00:00+02:00,174.77580972549018
2024-04-21 09:00:00+02:00,151.49782588235294
2024-04-21 10:00:00+02:00,123.76608650980391
2024-04-21 11:00:00+02:00,95.586244
2024-04-21 12:00:00+02:00,70.2518564117647
2024-04-21 13:00:00+02:00,38.98692121568627
2024-04-21 14:00:00+02:00,53.50156631372549
2024-04-21 15:00:00+02:00,82.5688478627451
2024-04-21 16:00:00+02:00,132.34823572549018
2024-04-21 17:00:00+02:00,219.62995962745097
2024-04-21 18:00:00+02:00,305.31702084313724
2024-04-21 19:00:00+02:00,368.6476320588235
2024-04-21 20:00:00+02:00,394.8324414705882
2024-04-21 21:00:00+02:00,362.91288603921566
2024-04-21 22:00:00+02:00,342.46574505882353
2024-04-21 23:00:00+02:00,315.13632437254904
